年份,月份,活跃用户,营收,ARPU,使用率
25年,1月,29102,79978,2.748196,57%
25年,2月,13938,54324,3.897546276,52%
25年,3月,19087,88077,4.614502017,61%
25年,4月,22242,100389,4.513487996,68%
25年,5月,22420,111074,4.954237288,70%
25年,6月,27395,129753,4.736375251,73%
25年,7月,12840,64104,4.992523364,58%
25年,8月,9230,56282,6.09772481,65%
25年,9月,11566,102175,8.834082656,68%
25年,10月,16976,138293,8.146383129,72%
25年,11月,22980,138748,6.037771976,77%
25年,12月,19378,109830,5.667767571,73%
26年,1月,29260,162423,5.55102529,80%
26年,2月,18670,76391,4.091644349,69%
